p,cx,cy,cz
197,3.28108,-0.302346,0.0302317,0.9527190000000001
198,1.92015,0.380384,0.0471795,0.923624
199,3.34754,0.300345,0.00316245,0.953825
200,1.40452,-0.207684,-0.415049,0.885777
201,0.675084,-0.199855,-0.617211,0.760992
202,0.310294,-0.402911,-0.706738,0.5815359999999999
203,0.534449,0.0685663,0.834046,0.547417
204,3.2400599999999997,0.32321500000000003,0.00166757,0.9463239999999999
205,1.18245,0.31297600000000003,-0.669077,0.674079
206,0.801227,0.562566,0.016883000000000002,0.82658
207,4.12372,-0.137121,0.196232,0.970923
208,2.46503,-0.16953900000000002,-0.328602,0.929127
209,2.3509900000000004,-0.184223,-0.340092,0.922171
210,0.502179,-0.537142,-0.6471520000000001,0.540992
211,2.66965,0.181034,-0.295451,0.938049
212,1.6859099999999998,-0.227854,-0.32469899999999996,0.9179620000000001
213,0.622563,0.751606,0.046063400000000004,0.6580020000000001
214,0.935983,0.43139700000000003,0.508524,0.745185
215,0.46657299999999996,-0.565095,-0.513896,0.645429
216,2.83593,0.390413,-0.0575082,0.918842
217,0.747754,-0.41875500000000004,-0.399118,0.815689
218,2.3405099999999996,-0.400814,-0.10008500000000001,0.910676
219,3.19367,-0.13561900000000002,0.351441,0.926335
220,0.871567,0.308185,0.427791,0.849716
221,0.9716239999999999,-0.624175,0.499669,0.6006130000000001
222,0.964042,0.47538500000000006,0.0819531,0.8759520000000001
223,0.576965,0.439008,0.564075,0.6993510000000001
224,0.732158,-0.254948,-0.694136,0.673184
225,0.68198,0.763072,0.335688,0.5523
226,2.56135,-0.147499,-0.270457,0.9513659999999999
227,1.55118,0.345569,0.389441,0.853767
228,0.558566,-0.709353,0.251085,0.658616
229,1.04164,0.07551369999999999,-0.5851529999999999,0.807399
230,4.19846,-0.103539,-0.21991,0.97001
231,1.99744,-0.283238,0.277161,0.918127
232,0.7807970000000001,-0.46288500000000005,0.413601,0.78401
233,1.0203200000000001,0.632733,-0.147593,0.760175
234,1.7431400000000001,-0.21166100000000002,-0.340629,0.916063
235,0.9398629999999999,0.581727,-0.0375954,0.812515
236,0.32868800000000004,0.856979,-0.189156,0.47938100000000006
237,0.768646,0.5164300000000001,-0.0621864,0.8540690000000001
238,1.4574799999999999,0.539826,-0.016688599999999998,0.8416110000000001
239,0.5680609999999999,-0.359325,-0.595799,0.718268
240,0.5081359999999999,-0.787399,-0.088571,0.6100479999999999
241,1.11048,-0.470624,0.0378371,0.8815219999999999
242,2.59905,-0.172209,0.249077,0.95305
243,1.55938,-0.120898,0.507811,0.852943
244,0.621089,-0.5904550000000001,0.028275599999999998,0.806575
245,1.3078,-0.43837,-0.0242858,0.898466
246,2.91532,-0.227129,0.285907,0.930951
247,1.24763,-0.21245300000000003,-0.5912609999999999,0.777994
248,3.7927800000000005,-0.11315499999999999,0.225514,0.9676459999999999
249,0.751722,-0.269504,0.725689,0.633043
250,0.47077600000000003,0.591204,0.59772,0.5414869999999999
251,1.07789,-0.6200100000000001,-0.0679893,0.7816420000000001
252,0.672668,0.268585,-0.511807,0.816037
253,0.751872,-0.234119,0.483803,0.843281
254,1.50547,-0.408549,0.040264,0.911848
